STCODE,ENTITY,SITECODE,WATERYEAR,YEAR,MONTH,TYPE,Q_AREA_MO,QCODE_MO,ALK_OUT_MO,ALKCODE_MO,SSED_OUT_MO,SSEDCODE_MO,SI_OUT_MO,SICODE_MO,UTP_OUT_MO,UTPCODE_MO,TDP_OUT_MO,TDPCODE_MO,PO4P_OUT_MO,PO4PCODE_MO,PARTP_OUT_MO,PARTPCODE_MO,UTN_OUT_MO,UTNCODE_MO,TDN_OUT_MO,TDNCODE_MO,DON_OUT_MO,DONCODE_MO,PARTN_OUT_MO,PARTNCODE_MO,UTKN_OUT_MO,UTKNCODE_MO,TKN_OUT_MO,TKNCODE_MO,NH3N_OUT_MO,NH3NCODE_MO,NO3N_OUT_MO,NO3NCODE_MO,NA_OUT_MO,NACODE_MO,K_OUT_MO,KCODE_MO,CA_OUT_MO,CACODE_MO,MG_OUT_MO,MGCODE_MO,SO4S_OUT_MO,SO4SCODE_MO,CL_OUT_MO,CLCODE_MO,DOC_OUT_MO,DOCCODE_MO
CF002,4,"GSLOOK",2005,2005,5,P,15.50,I,25.78,I,3.20,I,12.33,I,0.040,I,0.036,I,0.019,I,0.005,ID,0.08,I,0.06,I,0.05,ID*,0.02,ID,,N,,N,0.015,I,0.000,I*,3.15,I,0.62,I,4.59,I,0.99,I,0.12,I,0.93,I,2.51,I
CF002,4,"GSLOOK",2005,2005,6,F,8.85,A,15.71,A,2.07,A,7.33,A,0.028,A,0.025,A,0.010,A,0.002,D,0.07,A,0.04,A,0.03,D*,0.03,D,,N,,N,0.006,A,0.000,*,1.91,A,0.40,A,2.94,A,0.77,A,0.06,A,0.49,A,1.19,A
CF002,4,"GSLOOK",2005,2005,7,F,3.20,A,6.39,A,0.49,A,2.76,E,0.010,A,0.010,A,0.004,A,0.001,D,0.04,A,0.02,A,0.01,D*,0.02,D,,N,,N,0.002,A,0.000,*,0.81,A,0.17,A,1.25,A,0.46,A,0.02,A,0.20,A,0.41,A
CF002,4,"GSLOOK",2005,2005,8,F,1.71,A,3.66,A,0.38,A,1.56,A,0.005,A,0.005,A,0.002,A,0.000,D,0.01,A,0.01,A,0.01,D*,0.00,D,,N,,N,0.002,A,0.000,*,0.46,A,0.11,A,0.66,A,0.20,A,0.01,A,0.14,A,0.22,A
CF002,4,"GSLOOK",2005,2005,9,F,1.42,A,2.99,A,0.29,A,1.25,A,0.004,A,0.004,A,0.002,A,0.000,D,0.01,A,0.01,A,0.01,D*,0.00,D,,N,,N,0.001,A,0.000,*,0.38,A,0.08,A,0.57,A,0.17,A,0.01,A,0.13,A,0.14,A
CF002,4,"GSLOOK",2006,2005,10,F,1.86,A,3.36,A,0.49,A,1.58,A,0.005,A,0.004,A,0.002,A,0.001,D,0.01,A,0.01,A,0.01,D*,0.00,D,,N,,N,0.002,A,0.001,*,0.48,A,0.10,A,0.72,A,0.21,A,0.02,A,0.37,A,0.21,A
CF002,4,"GSLOOK",2006,2005,11,F,17.03,A,25.56,A,6.64,A,13.30,A,0.038,A,0.028,A,0.019,A,0.010,D,0.19,A,0.12,A,0.04,D,0.07,D,,N,,N,0.037,A,0.040,A,3.72,A,0.71,A,5.64,A,1.51,A,0.14,A,2.54,A,2.29,A
CF002,4,"GSLOOK",2006,2005,12,P,39.62,A,54.56,A,485.30,A,27.73,A,0.315,Q,0.081,A,0.052,A,0.234,DQ,0.63,A,0.28,A,0.14,D,0.35,D,,N,,N,0.075,A,0.070,A,7.28,A,1.43,A,10.24,A,2.66,A,0.32,A,2.74,A,5.06,A
CF002,4,"GSLOOK",2006,2006,1,F,54.09,A,72.03,A,890.40,A,37.36,A,0.535,Q,0.114,A,0.080,A,0.422,DQ,0.93,A,0.28,A,0.19,D,0.64,D,,N,,N,0.047,A,0.062,A,9.35,A,1.93,A,13.38,A,3.40,A,0.43,A,3.33,A,6.76,A
CF002,4,"GSLOOK",2006,2006,2,P,21.63,A,32.34,A,19.04,A,16.55,A,0.064,A,0.044,A,0.028,A,0.019,D,0.08,A,0.06,A,0.03,D*,0.03,D,,N,,N,0.010,A,0.006,*,4.03,A,0.79,A,5.65,A,1.58,A,0.18,A,1.34,A,1.83,A
