STCODE,FORMAT,SITECODE,WATERYEAR,BEGIN_DATETIME,END_DATETIME,TOTAL_Q_SMPL,ESTCODE
HF004,6,"GSLOOK",2005,2004-10-01 00:00:00,2005-05-12 15:00:00,32.469,E
HF004,6,"GSLOOK",2005,2005-05-12 15:00:00,2005-05-31 13:00:00,4.045,A
HF004,6,"GSLOOK",2005,2005-05-31 13:00:00,2005-06-20 16:00:00,2.714,A
HF004,6,"GSLOOK",2005,2005-06-20 16:00:00,2005-07-11 12:30:00,1.368,A
HF004,6,"GSLOOK",2005,2005-07-11 12:30:00,2005-08-03 09:30:00,0.771,A
HF004,6,"GSLOOK",2005,2005-08-03 09:30:00,2005-08-23 11:00:00,0.445,A
HF004,6,"GSLOOK",2005,2005-08-23 11:00:00,2005-09-12 11:30:00,0.394,A
HF004,6,"GSLOOK",2005,2005-09-12 11:30:00,2005-10-01 00:00:00,0.331,A
HF004,6,"GSLOOK",2006,2005-10-01 00:00:00,2005-10-03 16:00:00,0.104,A
HF004,6,"GSLOOK",2006,2005-10-03 16:00:00,2005-10-25 10:30:00,0.447,A
HF004,6,"GSLOOK",2006,2005-10-25 10:30:00,2005-11-15 12:30:00,4.334,A
HF004,6,"GSLOOK",2006,2005-11-15 12:30:00,2005-12-07 15:00:00,4.011,A
HF004,6,"GSLOOK",2006,2005-12-07 15:00:00,2005-12-27 12:30:00,5.528,A
HF004,6,"GSLOOK",2006,2005-12-27 12:30:00,2006-01-19 11:00:00,24.467,A
HF004,6,"GSLOOK",2006,2006-01-19 11:00:00,2006-02-07 14:00:00,10.025,A
HF004,6,"GSLOOK",2006,2006-02-07 14:00:00,2006-02-27 13:30:00,3.634,A
HF004,6,"GSLOOK",2006,2006-02-27 13:30:00,2006-03-20 16:00:00,3.203,A
HF004,6,"GSLOOK",2006,2006-03-20 16:00:00,2006-04-11 12:00:00,3.885,A
HF004,6,"GSLOOK",2006,2006-04-11 12:00:00,2006-05-02 09:30:00,4.855,A
HF004,6,"GSLOOK",2006,2006-05-02 09:30:00,2006-05-24 08:00:00,3.158,A
HF004,6,"GSLOOK",2006,2006-05-24 08:00:00,2006-06-13 12:30:00,2.771,A
HF004,6,"GSLOOK",2006,2006-06-13 12:30:00,2006-07-05 08:30:00,1.466,A
HF004,6,"GSLOOK",2006,2006-07-05 08:30:00,2006-07-24 13:00:00,0.699,A
HF004,6,"GSLOOK",2006,2006-07-24 13:00:00,2006-08-15 09:30:00,0.490,E
HF004,6,"GSLOOK",2006,2006-08-15 09:30:00,2006-09-05 12:30:00,0.323,A
HF004,6,"GSLOOK",2006,2006-09-05 12:30:00,2006-09-27 10:30:00,0.355,A
HF004,6,"GSLOOK",2006,2006-09-27 10:30:00,2006-10-01 00:00:00,0.046,A
HF004,6,"GSLOOK",2007,2006-10-01 00:00:00,2006-10-17 13:30:00,0.244,A
HF004,6,"GSLOOK",2007,2006-10-17 13:30:00,2006-11-06 14:00:00,0.943,A
HF004,6,"GSLOOK",2007,2006-11-06 14:00:00,2006-11-27 14:30:00,10.274,A
HF004,6,"GSLOOK",2007,2006-11-27 14:30:00,2006-12-19 14:30:00,10.768,A
HF004,6,"GSLOOK",2007,2006-12-19 14:30:00,2007-01-09 11:30:00,9.662,A
HF004,6,"GSLOOK",2007,2007-01-09 11:30:00,2007-01-30 14:00:00,3.775,A
HF004,6,"GSLOOK",2007,2007-01-30 14:00:00,2007-02-20 15:00:00,5.246,A
HF004,6,"GSLOOK",2007,2007-02-20 15:00:00,2007-03-13 10:30:00,6.378,A
HF004,6,"GSLOOK",2007,2007-03-13 10:30:00,2007-04-03 13:00:00,4.990,A
HF004,6,"GSLOOK",2007,2007-04-03 13:00:00,2007-04-24 08:30:00,3.361,A
HF004,6,"GSLOOK",2007,2007-04-24 08:30:00,2007-05-15 14:00:00,2.594,A
HF004,6,"GSLOOK",2007,2007-05-15 14:00:00,2007-06-04 15:30:00,1.320,E
HF004,6,"GSLOOK",2007,2007-06-04 15:30:00,2007-06-26 10:00:00,1.056,A
HF004,6,"GSLOOK",2007,2007-06-26 10:00:00,2007-07-17 12:30:00,0.631,A
HF004,6,"GSLOOK",2007,2007-07-17 12:30:00,2007-08-07 14:00:00,0.447,A
HF004,6,"GSLOOK",2007,2007-08-07 14:00:00,2007-08-28 14:30:00,0.373,A
HF004,6,"GSLOOK",2007,2007-08-28 14:30:00,2007-09-19 09:30:00,0.327,A
HF004,6,"GSLOOK",2007,2007-09-19 09:30:00,2007-10-01 00:00:00,0.194,A
HF004,6,"GSLOOK",2008,2007-10-01 00:00:00,2007-10-10 10:00:00,0.357,A
HF004,6,"GSLOOK",2008,2007-10-10 10:00:00,2007-10-30 14:00:00,3.315,A
