STCODE,FORMAT,SITECODE,WATERYEAR,MEAN_Q,MAX_Q,MIN_Q,MEAN_Q_AREA,TOTAL_Q_AREA,ESTCODE,ESTDAYS,TOTAL_DAYS
HF004,4,"GSLOOK",1950,159.000,1981.000,11.000,6.610,89.680,A,0,365
HF004,4,"GSLOOK",1951,160.000,1802.000,9.000,6.660,90.360,A,0,365
HF004,4,"GSLOOK",1952,136.000,1324.000,12.000,5.670,77.140,A,6,366
HF004,4,"GSLOOK",1953,143.000,3621.000,6.000,5.950,80.720,E,12,365
HF004,4,"GSLOOK",1954,134.000,2491.000,13.000,5.570,75.590,A,3,365
HF004,4,"GSLOOK",1955,109.000,1150.000,14.000,4.530,61.530,A,6,365
HF004,4,"GSLOOK",1956,172.000,2546.000,8.000,7.140,97.120,A,0,366
HF004,4,"GSLOOK",1957,119.000,2470.000,15.000,4.930,66.910,A,0,365
HF004,4,"GSLOOK",1958,135.000,2948.000,13.000,5.620,76.270,A,0,365
HF004,4,"GSLOOK",1959,109.000,1252.000,12.000,4.530,61.470,A,0,365
HF004,4,"GSLOOK",1960,117.000,759.000,11.000,4.840,65.810,A,0,366
HF004,4,"GSLOOK",1961,129.000,2328.000,10.000,5.360,72.820,A,0,365
HF004,4,"GSLOOK",1962,113.000,1919.000,10.000,4.700,63.810,A,8,365
HF004,4,"GSLOOK",1963,124.000,1430.000,10.000,5.140,69.790,E,70,365
HF004,4,"GSLOOK",1964,122.000,1381.000,10.000,5.060,68.910,A,8,366
HF004,4,"GSLOOK",1965,156.000,6665.000,8.000,6.470,87.810,E,10,365
HF004,4,"GSLOOK",1966,89.000,1143.000,7.000,3.700,50.150,A,0,365
HF004,4,"GSLOOK",1967,111.000,1557.000,6.600,4.590,62.330,E,28,365
HF004,4,"GSLOOK",1968,100.000,1959.000,11.000,4.170,56.730,A,0,366
HF004,4,"GSLOOK",1969,147.000,2162.000,12.000,6.110,82.890,A,0,365
HF004,4,"GSLOOK",1970,115.000,1922.000,8.700,4.780,64.850,A,0,365
HF004,4,"GSLOOK",1971,161.000,2357.000,8.700,6.690,90.690,A,0,365
HF004,4,"GSLOOK",1972,182.000,4183.000,11.000,7.530,102.490,E,11,366
HF004,4,"GSLOOK",1973,69.000,823.000,8.000,2.870,38.980,A,3,365
HF004,4,"GSLOOK",1974,176.000,1313.000,8.000,7.310,99.190,A,4,365
HF004,4,"GSLOOK",1975,132.000,1323.000,7.000,5.490,74.510,E,12,365
HF004,4,"GSLOOK",1976,143.000,1630.000,9.800,5.940,80.770,E,16,366
HF004,4,"GSLOOK",1977,49.000,293.000,8.600,2.040,27.730,E,68,365
HF004,4,"GSLOOK",1978,131.000,3051.000,11.000,5.430,73.660,E,12,365
HF004,4,"GSLOOK",1979,95.000,1159.000,9.000,3.940,53.410,A,0,365
HF004,4,"GSLOOK",1980,99.000,1562.000,7.000,4.100,55.810,E,92,366
HF004,4,"GSLOOK",1981,100.000,2222.000,5.000,4.170,56.510,A,0,365
HF004,4,"GSLOOK",1982,151.000,1751.000,8.000,6.280,85.280,E,51,365
HF004,4,"GSLOOK",1983,140.000,1472.000,11.000,5.800,78.660,A,2,365
HF004,4,"GSLOOK",1984,142.000,2100.000,9.000,5.910,80.420,A,0,366
HF004,4,"GSLOOK",1985,108.000,1127.000,7.900,4.490,60.970,E,71,365
HF004,4,"GSLOOK",1986,115.000,2700.000,8.900,4.790,65.000,E,40,365
HF004,4,"GSLOOK",1987,85.000,970.000,6.000,3.540,48.070,E,12,365
HF004,4,"GSLOOK",1988,92.000,1090.000,5.000,3.810,51.770,E,10,366
HF004,4,"GSLOOK",1989,115.000,1680.000,8.100,4.770,64.750,A,1,365
HF004,4,"GSLOOK",1990,101.000,1960.000,9.300,4.180,56.760,A,0,365
HF004,4,"GSLOOK",1991,102.000,1010.000,9.500,4.240,57.460,E,121,365
HF004,4,"GSLOOK",1992,71.000,1110.000,6.500,2.950,40.110,A,0,366
HF004,4,"GSLOOK",1993,134.000,1220.000,6.300,5.570,75.550,A,0,365
HF004,4,"GSLOOK",1994,69.000,827.000,7.300,2.870,38.880,A,0,365
HF004,4,"GSLOOK",1995,125.000,1770.000,8.000,5.200,70.560,A,8,365
HF004,4,"GSLOOK",1996,193.000,8000.000,9.200,8.010,108.940,A,2,366
HF004,4,"GSLOOK",1997,207.000,2980.000,9.200,8.590,116.590,A,0,365
HF004,4,"GSLOOK",1998,120.000,1470.000,7.400,4.980,67.600,E,36,365
HF004,4,"GSLOOK",1999,158.000,3380.000,7.800,6.580,89.220,A,5,365
HF004,4,"GSLOOK",2000,122.000,3180.000,9.400,5.070,69.040,E,13,366
HF004,4,"GSLOOK",2001,53.000,377.000,7.000,2.210,30.040,A,0,365
HF004,4,"GSLOOK",2002,121.000,1830.000,7.000,5.030,68.280,A,0,365
HF004,4,"GSLOOK",2003,105.000,1420.000,8.000,4.340,58.900,A,5,365
HF004,4,"GSLOOK",2004,113.000,2040.000,8.200,4.670,63.540,E,33,366
HF004,4,"GSLOOK",2005,76.000,1250.000,11.000,3.130,42.540,A,0,365
HF004,4,"GSLOOK",2006,131.000,3060.000,7.800,5.430,73.730,A,2,365
HF004,4,"GSLOOK",2007,111.000,2240.000,7.100,4.610,62.590,A,2,365
HF004,4,"GSLOOK",2008,145.000,1130.000,12.000,6.000,81.610,A,0,366
HF004,4,"GSLOOK",2009,118.000,2800.000,8.500,4.890,66.350,A,0,365
HF004,4,"GSLOOK",2010,100.000,925.000,9.100,4.150,56.370,A,5,365
HF004,4,"GSLOOK",2011,150.000,4600.000,11.000,6.240,84.700,A,0,365
HF004,4,"GSLOOK",2012,147.000,2430.000,11.000,6.120,83.260,A,4,366
HF004,4,"GSLOOK",2013,114.000,2530.000,9.500,4.740,64.290,A,0,365
HF004,4,"GSWS01",1953,1.638,40.139,0.029,4.423,60.036,E,23,365
HF004,4,"GSWS01",1954,1.541,40.639,0.037,4.161,56.483,A,0,365
HF004,4,"GSWS01",1955,1.213,39.203,0.033,3.276,44.474,E,33,365
HF004,4,"GSWS01",1956,2.133,36.129,0.037,5.761,78.408,E,49,366
HF004,4,"GSWS01",1957,1.276,55.786,0.033,3.445,46.761,E,14,365
HF004,4,"GSWS01",1958,1.520,55.037,0.030,4.105,55.714,A,8,365
HF004,4,"GSWS01",1959,1.196,31.081,0.033,3.231,43.863,A,5,365
HF004,4,"GSWS01",1960,1.275,13.544,0.037,3.444,46.892,A,7,366
HF004,4,"GSWS01",1961,1.526,41.846,0.037,4.122,55.944,A,0,365
HF004,4,"GSWS01",1962,1.353,42.629,0.037,3.654,49.598,E,11,365
HF004,4,"GSWS01",1963,1.230,23.645,0.079,3.322,45.088,E,16,365
